GRAFFITI,POT_HOLES,RODENTS,GARBAGE,STREET_LIGHTS,TREE_DEBRIS,ABANDONED_BUILDINGS,CRIME_TOTALS
0,0,0,0,0,0,0,6
0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,96
0,1,1,0,0,0,0,489
0,0,0,0,0,0,0,61
0,0,0,0,0,0,0,4
1,1,0,0,0,0,0,3
3,0,0,0,0,0,0,335
0,0,0,0,0,0,0,28
0,8,0,0,0,0,0,17
2,0,0,0,4,0,0,0
1,6,0,7,11,10,2,10
35,73,12,17,33,20,1,286
4,67,0,3,7,0,0,147
3,15,4,1,5,8,1,16
41,193,87,64,99,101,20,399
3,58,2,12,22,37,6,66
13,162,16,12,68,95,5,112
5,146,10,6,42,48,1,119
32,155,23,27,29,40,9,143
28,78,6,13,13,20,7,84
41,64,11,15,41,35,11,221
287,238,239,76,123,104,22,721
260,334,72,58,138,85,20,669
53,124,55,26,72,67,7,179
42,349,122,47,98,245,17,366
13,107,6,23,39,75,3,117
257,539,163,86,105,109,33,490
165,278,15,20,66,39,7,232
121,96,22,13,10,9,1,176
44,186,72,31,48,66,36,796
60,235,104,55,74,87,45,1331
1818,534,252,112,124,82,62,1730
548,386,193,87,159,130,25,918
255,349,98,72,151,152,22,661
108,295,49,85,114,131,12,486
7,94,10,3,40,87,2,64
119,205,65,40,66,65,25,355
227,272,28,28,65,46,21,543
0,1,0,0,1,2,0,2
64,99,54,19,25,14,28,648
259,645,400,163,203,219,370,7064
222,500,412,147,186,128,185,3966
2577,478,311,108,151,62,72,2359
1234,499,423,117,148,142,29,1628
661,482,104,84,154,139,17,996
38,212,49,47,85,82,9,254
4,33,1,1,20,21,2,15
0,0,0,0,1,0,0,3
1,0,0,0,0,0,0,2
145,187,157,36,67,127,20,343
75,122,54,19,31,59,17,570
645,335,180,64,148,91,54,999
1906,426,176,80,152,61,53,1181
117,77,16,4,14,5,1,74
1860,247,117,54,91,78,83,1200
90,269,182,96,126,56,208,2193
176,424,284,124,190,102,357,4351
724,315,209,116,139,75,116,3293
1981,523,214,124,141,40,65,2173
1916,543,282,110,159,133,35,1705
498,435,107,44,92,93,15,1069
47,304,55,20,64,104,3,202
0,26,6,8,30,38,1,84
11,211,64,36,133,152,12,216
3,0,1,0,3,3,0,5
235,305,98,107,148,165,35,673
596,345,180,122,83,129,64,853
2017,640,356,109,128,116,157,1783
3688,609,210,51,165,43,62,1674
593,167,40,31,37,16,18,398
4271,511,272,110,224,65,88,2888
260,374,369,201,270,63,337,5990
235,374,386,167,297,76,280,4441
860,470,351,294,217,58,204,3853
2772,684,544,238,236,95,125,2951
2528,574,355,151,183,111,40,2022
2283,462,218,118,86,98,30,2001
282,401,271,89,80,79,13,722
20,151,17,13,31,45,3,119
2,51,22,7,35,45,4,67
8,258,72,54,109,152,13,441
5,24,13,12,6,37,3,90
59,193,80,100,156,124,28,724
150,249,154,145,132,122,115,1966
1834,575,375,250,245,110,397,5229
2854,599,206,100,181,39,98,1880
2985,421,318,102,119,51,58,1666
3837,355,98,53,170,20,73,1535
954,369,131,105,192,41,145,2336
565,300,257,107,241,61,137,2592
1660,574,425,163,189,68,105,2948
2543,615,572,137,161,93,54,2343
1332,343,272,81,143,82,31,1121
1025,369,272,102,117,93,32,1292
703,559,518,180,132,92,32,1917
512,649,203,94,135,193,24,1291
22,119,20,30,93,148,47,586
23,354,35,65,127,455,41,688
41,402,41,56,178,454,31,772
38,316,160,177,187,145,139,2288
82,280,495,267,170,231,336,3273
138,306,554,205,185,192,694,4292
1219,483,283,167,245,70,389,3786
1424,309,107,99,97,67,49,923
2168,250,66,43,108,17,35,919
1828,376,84,50,203,16,28,1710
1039,344,167,79,180,25,52,2121
3261,493,517,183,179,68,59,3416
884,541,561,125,87,52,41,1715
1406,531,459,126,150,102,26,1701
1325,318,286,106,125,90,22,1739
888,574,210,112,154,144,30,1560
1687,943,229,119,125,151,20,3057
23,51,1,5,15,9,1,305
1,52,9,10,56,15,8,231
27,271,69,74,148,140,116,1401
18,302,93,73,220,259,89,1669
20,363,91,156,254,213,111,1606
51,434,180,204,268,180,208,2741
86,312,316,238,248,252,456,4294
109,234,338,164,175,167,483,3752
254,256,271,80,206,142,244,1976
362,216,253,81,102,70,34,676
1297,334,146,130,149,46,47,1281
1327,516,80,49,144,18,19,1897
679,563,48,87,118,9,31,2727
663,459,379,78,135,37,28,2516
1182,562,713,191,190,59,28,2716
850,512,272,146,123,45,19,3551
710,273,44,78,80,43,13,2338
222,199,40,36,59,11,6,991
14,13,5,2,1,1,1,38
0,4,1,0,1,2,4,13
13,102,20,18,57,58,39,401
95,382,96,155,209,322,357,2727
88,246,135,115,235,304,411,3485
38,323,93,125,238,225,149,1984
14,271,44,101,149,164,78,1567
56,500,184,266,271,280,227,3671
56,256,78,83,143,76,152,3508
55,396,147,122,161,113,140,2972
57,338,114,75,142,113,76,2644
272,415,63,60,152,16,24,1356
514,234,19,44,97,7,14,2193
1424,848,60,65,177,4,11,7424
707,615,156,72,140,11,18,3679
71,161,5,6,28,2,1,403
0,2,0,0,1,0,0,0
0,0,0,0,0,0,0,9
0,4,0,0,1,0,2,4
4,61,7,9,37,34,20,796
9,77,2,6,15,11,11,216
35,207,38,57,163,166,95,1037
10,247,54,50,171,120,75,980
25,315,87,168,216,192,125,3091
83,486,202,179,232,158,257,3117
72,298,152,135,184,87,165,3388
101,340,110,68,149,130,37,2314
20,182,41,63,106,79,49,1652
1,43,1,1,19,1,1,118
16,5,0,0,4,0,0,55
56,99,1,1,11,0,1,175
0,50,0,0,3,0,0,7
0,11,0,1,0,0,0,5
0,49,0,0,8,0,0,51
37,166,37,64,140,105,68,835
61,453,93,76,239,246,76,1611
81,574,281,176,223,175,203,4590
33,227,76,34,99,34,11,1463
172,163,45,16,95,31,9,966
0,0,0,0,1,0,0,0
86,91,4,9,68,27,8,192
2,26,0,0,4,2,0,6
250,129,2,12,45,23,25,516
323,220,48,135,227,221,136,1301
412,362,96,164,303,177,506,2942
80,354,72,223,206,126,304,4167
4,18,6,2,18,3,7,77
0,0,0,0,1,0,0,15
194,111,6,13,45,37,22,345
32,22,1,2,23,6,0,65
1633,228,20,40,144,73,48,787
496,83,11,24,53,32,24,530
216,62,24,13,59,20,113,678
3,7,2,1,4,0,2,42
0,1,0,0,0,0,0,0
62,25,0,1,11,6,4,41
0,0,0,0,0,3,0,1
